,acronym,synaptome_idx,ontology,region_id,major_region
129,CA1sr,"[464, 516]",395,415,HPF
130,FLmo,[760],976,10692,CBX
131,ILA2/3,[29],218,556,Isocortex
132,RSPv5,"[232, 351]",284,687,Isocortex
133,VPMpc,[647],572,741,TH
134,PP,[657],577,1044,TH
135,SSp-n4,[152],45,654,Isocortex
136,AIv5,[102],263,800,Isocortex
137,COApm3,"[425, 445]",377,256,OLF
138,OT2,[599],505,465,STR
139,SUBd-m,[545],471,829,HPF
140,LA,[569],484,131,CTXsp
141,MEA,[611],522,403,STR
142,COApl,[439],366,655,OLF
143,ANcr1gr,[728],958,10675,CBX
144,ANcr1mo,[730],956,10677,CBX
145,LAV,[708],888,209,MY
146,RSPagl1,[281],268,671,Isocortex
147,ECT2/3,"[200, 304]",309,427,Isocortex
148,ACAd5,"[45, 78]",199,1015,Isocortex
149,CA2so,[468],398,438,HPF
150,RAmb,[692],768,165,MB
151,SSp-tr4,[251],80,1086,Isocortex
152,CA2sr,[472],400,454,HPF
153,FLgr,[758],978,10690,CBX
154,SSp-m6a,[144],68,1102,Isocortex
155,RSPv6a,"[233, 377]",285,590,Isocortex
156,MG,[653],579,475,TH
157,ACAd2/3,"[27, 77]",198,211,Isocortex
158,SSp-ul4,[162],73,577,Isocortex
159,AUDp1,"[180, 276]",121,735,Isocortex
160,CA3sr,"[482, 527]",406,504,HPF
161,TU,[672],708,614,HY
162,CEA,[607],517,536,STR
163,TTv1,[403],341,1067,OLF
164,ND,[688],746,587,MB
165,VISp1,[287],170,593,Isocortex
166,LP,"[627, 651]",586,218,TH
167,"CUL4, 5gr","[748, 750]",928,10720,Isocortex
168,PTLp4,[325],290,635,Isocortex
169,LH,[623],626,186,TH
170,ECT6a,"[372, 454]",311,977,Isocortex
171,VPL,[643],569,718,TH
172,RT,[637],617,262,TH
173,SSp-tr6a,[253],82,9,Isocortex
174,CA1so,"[460, 512]",393,399,HPF
175,SSp-tr1,[249],78,1006,Isocortex
176,VISal4,[327],151,1114,Isocortex
177,ORBvl5,[52],244,1125,Isocortex
178,AId6a,"[64, 95]",252,783,Isocortex
179,RSPagl5,[349],270,774,Isocortex
180,COApl1,[415],369,216,OLF
181,SUBd-sr,[549],473,837,HPF
182,VISp4,[329],172,721,Isocortex
183,PFLmo,"[768, 770]",972,10689,CBX
184,AUDd4,"[172, 322]",116,678,Isocortex
185,SUV,[724],891,217,MY
186,RM,[716],897,206,MY
187,SSp-bfd6a,[243],54,1038,Isocortex
188,MOp6a,"[66, 126, 208]",20,844,Isocortex
189,SSp-ul6a,[164],75,945,Isocortex
190,AUDv5,"[193, 345]",138,1023,Isocortex
191,SSp-tr2/3,[250],79,670,Isocortex
192,TEa6a,"[261, 378]",299,729,Isocortex
193,VISp6a,[381],174,33,Isocortex
194,VISam5,[354],159,433,Isocortex
195,MOs2/3,"[31, 132, 213]",24,962,Isocortex
196,CENT3gr,"[740, 742]",915,10711,CBX
197,DN,[756],985,846,CBN
198,CLA,[553],480,583,CTXsp
199,ACAd1,"[9, 76]",197,935,Isocortex
200,COApl2,[417],370,224,OLF
201,ORBl5,[50],231,630,Isocortex
202,AONpv,[389],329,199,OLF
203,ILA1,[11],216,707,Isocortex
204,PTLp5,[348],291,683,Isocortex
205,IMD,[625],600,59,TH
206,ACAv5,[86],205,772,Isocortex
207,AUDp4,"[182, 323]",123,816,Isocortex
208,MM,[678],676,491,HY
209,CA3slm,"[474, 520]",402,471,HPF
210,GU1,[109],99,36,Isocortex
211,ACAv1,[84],203,588,Isocortex
212,RSPv1,"[230, 283]",281,542,Isocortex
213,RSPagl6a,[375],271,906,Isocortex
214,EPv,"[567, 577]",483,966,CTXsp
215,AUDd1,"[170, 275]",114,527,Isocortex
216,SH,[585],513,333,STR
217,EPd,"[551, 555, 565]",482,952,CTXsp
218,VISp5,[355],173,778,Isocortex
219,PO,[633],587,1020,TH
220,VPM,[645],571,733,TH
221,SNr,[698],728,381,MB
222,SSp-n6a,[154],47,889,Isocortex
223,RSPagl2/3,[307],269,965,Isocortex
224,PVT,[635],608,149,TH
225,SPVOrdm,[720],847,45,MY
226,SCzo,[694],718,834,MB
227,AUDp6a,"[184, 370]",125,954,Isocortex
228,SUM,[680],678,525,HY
229,DCO,[704],828,96,MY
230,POL,[655],588,1029,TH
231,ACAv2/3,[85],204,296,Isocortex
232,ORBm6a,[69],239,910,Isocortex
233,AUDd5,"[173, 343]",117,252,Isocortex
234,ORBl6a,[68],232,440,Isocortex
235,SSp-m2/3,[141],65,657,Isocortex
236,SSp-bfd1,[239],50,981,Isocortex
237,CENT2mo,[738],909,10710,CBX
238,ORBl2/3,[32],230,412,Isocortex
239,PL6a,[71],213,84,Isocortex
240,MBmot,[686],727,323,MB
241,TTd1,[397],335,1034,OLF
242,ZI,[682],709,797,HY
243,SSp-n2/3,[151],44,838,Isocortex
244,VISam4,[328],158,401,Isocortex
245,isl,"[587, 589, 591, 593]",501,481,STR
246,PAG,[690],743,795,MB
247,SPFm,[639],574,414,TH
248,AId5,"[46, 94]",251,1101,Isocortex
249,FC,[499],424,982,HPF
250,PIR3,"[395, 413, 437]",354,291,OLF
251,VISam6a,[380],160,1046,Isocortex
252,TR2,[448],386,1141,OLF
253,IP,[762],984,91,CBN
254,RPA,[718],898,230,MY
255,SSp-ul5,[163],74,625,Isocortex
256,VISp2/3,[313],171,821,Isocortex
257,PAA1,[427],380,408,OLF
258,COApm2,"[423, 443]",376,248,OLF
259,CA2slm,"[466, 518]",397,431,HPF
260,PIR1,"[391, 409, 433]",352,276,OLF
261,IG,[452],425,19,HPF
262,SIMgr,[772],953,10672,CBX
263,MOp2/3,"[30, 124, 206]",18,943,Isocortex
264,ENTl1,"[455, 500]",429,1121,HPF
265,CA3so,"[478, 523]",404,486,HPF
266,ENTl5,[506],437,139,HPF
267,AUDv1,"[190, 277]",135,959,Isocortex
268,TTv3,[407],343,1082,OLF
269,AIv1,[100],261,704,Isocortex
270,PERI5,"[220, 347]",305,692,Isocortex
271,DG-po,"[490, 492, 535, 537]",409,10704,HPF
272,VISal5,[353],152,233,Isocortex
273,SSp-bfd4,[241],52,1047,Isocortex
274,AUDv6a,"[194, 371]",139,520,Isocortex
